video_id,start_s,end_s,attention,blouse,notes
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190923_aceb388e,0.000,2.700,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190928_3e320cfc,0.000,2.300,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190932_df09bb98,0.000,4.600,attentive,properly_worn,
captures_zaayd_safe_blooza_bad_1_700defdd,0.000,71.470,attentive,badly_worn,
captures_zaayd_safe_blooza_good_2_9d763cc7,0.000,44.830,attentive,properly_worn,
captures_zaayd_safe_blooza_good_safe_8633e411,0.000,33.470,attentive,properly_worn,
captures_zaayd_safe_bloza_good_1_15b4e562,0.000,36.470,attentive,properly_worn,
captures_zaayd_safe_safe_distracted_blooza_good_1_d4449e49,0.000,10.500,distracted,properly_worn,
captures_zaayd_unsafe_blooza_bad_1_7f6ab029,0.000,5.670,attentive,badly_worn,
captures_zaayd_unsafe_blooza_bad_2_522d2bef,0.000,3.670,attentive,badly_worn,
captures_zaayd_unsafe_blooza_bad_5_ea4e3014,0.000,10.270,attentive,properly_worn,
captures_zaayd_unsafe_blooza_bad_3_b636f186,0.000,6.770,attentive,badly_worn,
captures_zaayd_unsafe_blooza_godo_4_d437650f,0.000,7.730,attentive,properly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_9dc0b428,0.000,12.270,attentive,properly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185711_0b4a1e2c,0.000,2.900,attentive,properly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185719_a7ede895,0.000,1.400,attentive,badly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185716_59d3ada5,0.000,2.300,attentive,badly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185723_2936f2f1,0.000,1.870,attentive,badly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185727_82e40518,0.000,3.000,attentive,badly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185733_5c9cc748,0.000,2.230,attentive,badly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185750_089d804b,0.000,2.530,attentive,badly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185746_75364c1d,0.000,2.130,attentive,badly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185758_7e2820d3,0.000,1.970,attentive,badly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_4_0972155c,0.000,2.830,attentive,badly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_529a5475,0.000,3.530,attentive,badly_worn,
captures_zaayd_unsafe_unsafe_blooza_good_22e4c575,0.000,3.530,attentive,properly_worn,
captures_zaayd_unsafe_unsafe_distracted_blooza_good_46c3f655,0.000,4.300,distracted,properly_worn,
captures_zaayd_unsafe_unsafe_distracted_0755b3f7,0.000,5.170,distracted,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190918_1ece8104,0.000,3.330,distracted,properly_worn,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185754_1c7097b2,0.000,1.900,distracted,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191426_77046a04,0.000,4.900,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191505_b840699c,0.000,3.170,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190837_300e4d2f,0.000,4.100,attentive,properly_worn,
