"person","zone","name","mb","duration_s","resolution","fps","frames"
"zaayd","safe","blooza good 2.mp4","61.55","44.83","1440x720","30/1","1345"
"zaayd","safe","blooza good safe.mp4","46.37","33.47","1440x720","30/1","1004"
"zaayd","safe","bloza good 1.mp4","50.15","36.47","1440x720","30/1","1094"
"zaayd","safe","safe distracted blooza good 1.mp4","14.58","10.5","1440x720","30/1","315"
"zaayd","unsafe","blooza bad 1.mp4","7.92","5.67","1440x720","30/1","170"
"zaayd","unsafe","blooza bad 2.mp4","5.13","3.67","1440x720","30/1","110"
"zaayd","unsafe","blooza bad 3 .mp4","9.46","6.77","1440x720","30/1","203"
"zaayd","unsafe","blooza bad 5.mp4","14","10.27","1440x720","30/1","308"
"zaayd","unsafe","blooza godo 4.mp4","10.74","7.73","1440x720","30/1","232"
"zaayd","unsafe","unsafe blooza bad .mp4","15.98","12.27","1440x720","30/1","368"
"zaayd","unsafe","unsafe blooza bad 20260512_185711.mp4","3.83","2.9","1440x720","30/1","87"
"zaayd","unsafe","unsafe blooza bad 20260512_185716.mp4","3.27","2.3","1440x720","30/1","69"
"zaayd","unsafe","unsafe blooza bad 20260512_185719.mp4","1.99","1.4","1440x720","30/1","42"
"zaayd","unsafe","unsafe blooza bad 20260512_185723.mp4","2.62","1.87","1440x720","30/1","56"
"zaayd","unsafe","unsafe blooza bad 20260512_185727.mp4","4.37","3","1440x720","30/1","90"
"zaayd","unsafe","unsafe blooza bad 20260512_185733.mp4","3.01","2.23","1440x720","30/1","67"
"zaayd","unsafe","unsafe blooza bad 20260512_185739.mp4","2.73","1.93","1440x720","30/1","58"
"zaayd","unsafe","unsafe blooza bad 20260512_185746.mp4","3.07","2.13","1440x720","30/1","64"
"zaayd","unsafe","unsafe blooza bad 20260512_185750.mp4","3.6","2.53","1440x720","30/1","76"
"zaayd","unsafe","unsafe blooza bad 20260512_185754.mp4","2.7","1.9","1440x720","30/1","57"
"zaayd","unsafe","unsafe blooza bad 20260512_185758.mp4","2.73","1.97","1440x720","30/1","59"
"zaayd","unsafe","unsafe blooza bad 4.mp4","3.67","2.83","1440x720","30/1","85"
"zaayd","unsafe","unsafe blooza bad.mp4","4.83","3.53","1440x720","30/1","106"
"zaayd","unsafe","unsafe blooza good .mp4","4.95","3.53","1440x720","30/1","106"
"zaayd","unsafe","unsafe distracted blooza good.mp4","6.17","4.3","1440x720","30/1","129"
"zaayd","unsafe","unsafe distracted.mp4","6.94","5.17","1440x720","30/1","155"
