video_id,event_time_s,frame,body_part,event_type,zone_id,spatial_relation,notes
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190932_df09bb98,1.633,49,head,near_miss,machine_danger_volume,inside_volume,
captures_zaayd_safe_blooza_bad_1_700defdd,,,none,no_danger_event,machine_danger_volume,outside_volume,
captures_zaayd_safe_blooza_good_2_9d763cc7,,,none,no_danger_event,machine_danger_volume,outside_volume,
captures_zaayd_safe_blooza_good_safe_8633e411,,,none,no_danger_event,machine_danger_volume,outside_volume,
captures_zaayd_safe_bloza_good_1_15b4e562,,,none,no_danger_event,machine_danger_volume,outside_volume,
captures_zaayd_safe_safe_distracted_blooza_good_1_d4449e49,,,none,no_danger_event,machine_danger_volume,outside_volume,
captures_zaayd_unsafe_blooza_bad_1_7f6ab029,1.567,47,head|hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_blooza_bad_2_522d2bef,2.667,80,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_blooza_bad_3_b636f186,4.333,130,hand_or_arm,near_miss,machine_danger_volume,near_volume,
captures_zaayd_unsafe_blooza_bad_5_ea4e3014,8.267,248,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_blooza_godo_4_d437650f,5.800,174,hand_or_arm,near_miss,machine_danger_volume,near_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_9dc0b428,11.667,350,head,near_miss,machine_danger_volume,near_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185711_0b4a1e2c,0.567,17,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185716_59d3ada5,0.233,7,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185719_a7ede895,0.333,10,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185723_2936f2f1,1.133,34,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185727_82e40518,1.000,30,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185733_5c9cc748,0.367,11,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185746_75364c1d,1.100,33,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185750_089d804b,1.133,34,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185754_1c7097b2,1.033,31,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185758_7e2820d3,0.900,27,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_4_0972155c,1.200,36,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_blooza_bad_529a5475,1.867,56,head,near_miss,machine_danger_volume,near_volume,
captures_zaayd_unsafe_unsafe_blooza_good_22e4c575,2.800,84,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_distracted_blooza_good_46c3f655,3.200,96,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_zaayd_unsafe_unsafe_distracted_0755b3f7,4.300,129,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
