video_id,path,actor,coarse_label,fps,frames,duration_s,width,height
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191432_94f35294,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191432.mp4,ilyas,unsafe,30.000,109,3.630,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191437_b4f77bb8,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191437.mp4,ilyas,unsafe,30.000,138,4.600,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191443_d5f47cf0,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191443.mp4,ilyas,unsafe,30.000,110,3.670,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191449_9b22a9b0,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191449.mp4,ilyas,unsafe,30.000,88,2.930,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191452_905ecd36,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191452.mp4,ilyas,unsafe,30.000,148,4.930,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191500_04cdc6f3,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191500.mp4,ilyas,unsafe,30.000,134,4.470,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191505_b840699c,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191505.mp4,ilyas,unsafe,30.000,95,3.170,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191509_7b90305f,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191509.mp4,ilyas,unsafe,30.000,102,3.400,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190728_e80f86ad,captures\ilyas\unsafe\unsafe blooza good  20260512_190728.mp4,ilyas,unsafe,30.000,90,3.000,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190733_1fc29c35,captures\ilyas\unsafe\unsafe blooza good  20260512_190733.mp4,ilyas,unsafe,30.000,81,2.700,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190737_7b320cb4,captures\ilyas\unsafe\unsafe blooza good  20260512_190737.mp4,ilyas,unsafe,30.000,70,2.330,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190742_244e888a,captures\ilyas\unsafe\unsafe blooza good  20260512_190742.mp4,ilyas,unsafe,30.000,86,2.870,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190747_0c868d1b,captures\ilyas\unsafe\unsafe blooza good  20260512_190747.mp4,ilyas,unsafe,30.000,100,3.330,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190752_e66b89bf,captures\ilyas\unsafe\unsafe blooza good  20260512_190752.mp4,ilyas,unsafe,30.000,107,3.570,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190758_3ce5e767,captures\ilyas\unsafe\unsafe blooza good  20260512_190758.mp4,ilyas,unsafe,30.000,122,4.070,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190804_f59e5432,captures\ilyas\unsafe\unsafe blooza good  20260512_190804.mp4,ilyas,unsafe,30.000,93,3.100,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190809_a6db35e7,captures\ilyas\unsafe\unsafe blooza good  20260512_190809.mp4,ilyas,unsafe,30.000,91,3.030,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190814_ff020958,captures\ilyas\unsafe\unsafe blooza good  20260512_190814.mp4,ilyas,unsafe,30.000,110,3.670,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190820_4a2b451c,captures\ilyas\unsafe\unsafe blooza good  20260512_190820.mp4,ilyas,unsafe,30.000,97,3.230,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190826_18fb6e07,captures\ilyas\unsafe\unsafe blooza good  20260512_190826.mp4,ilyas,unsafe,30.000,142,4.730,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190832_367f080a,captures\ilyas\unsafe\unsafe blooza good  20260512_190832.mp4,ilyas,unsafe,30.000,78,2.600,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190837_300e4d2f,captures\ilyas\unsafe\unsafe blooza good  20260512_190837.mp4,ilyas,unsafe,30.000,123,4.100,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190842_d8ac1c1c,captures\ilyas\unsafe\unsafe blooza good  20260512_190842.mp4,ilyas,unsafe,30.000,121,4.030,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190850_aa5bffa1,captures\ilyas\unsafe\unsafe blooza good  20260512_190850.mp4,ilyas,unsafe,30.000,105,3.500,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190855_2dd5390e,captures\ilyas\unsafe\unsafe blooza good  20260512_190855.mp4,ilyas,unsafe,30.000,112,3.730,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190901_c8f1dab5,captures\ilyas\unsafe\unsafe blooza good  20260512_190901.mp4,ilyas,unsafe,30.000,111,3.700,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190907_1cfbe666,captures\ilyas\unsafe\unsafe blooza good  20260512_190907.mp4,ilyas,unsafe,30.000,99,3.300,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190912_fdc9750f,captures\ilyas\unsafe\unsafe blooza good  20260512_190912.mp4,ilyas,unsafe,30.000,114,3.800,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190918_1ece8104,captures\ilyas\unsafe\unsafe blooza good  20260512_190918.mp4,ilyas,unsafe,30.000,100,3.330,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190923_aceb388e,captures\ilyas\unsafe\unsafe blooza good  20260512_190923.mp4,ilyas,unsafe,30.000,81,2.700,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190928_3e320cfc,captures\ilyas\unsafe\unsafe blooza good  20260512_190928.mp4,ilyas,unsafe,30.000,69,2.300,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190932_df09bb98,captures\ilyas\unsafe\unsafe blooza good  20260512_190932.mp4,ilyas,unsafe,30.000,138,4.600,1440,720
captures_zaayd_safe_blooza_bad_1_700defdd,captures\zaayd\safe\blooza bad 1.mp4,zaayd,safe,30.000,2144,71.470,1440,720
captures_zaayd_safe_blooza_good_2_9d763cc7,captures\zaayd\safe\blooza good 2.mp4,zaayd,safe,30.000,1345,44.830,1440,720
captures_zaayd_safe_blooza_good_safe_8633e411,captures\zaayd\safe\blooza good safe.mp4,zaayd,safe,30.000,1004,33.470,1440,720
captures_zaayd_safe_bloza_good_1_15b4e562,captures\zaayd\safe\bloza good 1.mp4,zaayd,safe,30.000,1094,36.470,1440,720
captures_zaayd_safe_safe_distracted_blooza_good_1_d4449e49,captures\zaayd\safe\safe distracted blooza good 1.mp4,zaayd,safe,30.000,315,10.500,1440,720
captures_zaayd_unsafe_blooza_bad_1_7f6ab029,captures\zaayd\unsafe\blooza bad 1.mp4,zaayd,unsafe,30.000,170,5.670,1440,720
captures_zaayd_unsafe_blooza_bad_2_522d2bef,captures\zaayd\unsafe\blooza bad 2.mp4,zaayd,unsafe,30.000,110,3.670,1440,720
captures_zaayd_unsafe_blooza_bad_3_b636f186,captures\zaayd\unsafe\blooza bad 3 .mp4,zaayd,unsafe,30.000,203,6.770,1440,720
captures_zaayd_unsafe_blooza_bad_5_ea4e3014,captures\zaayd\unsafe\blooza bad 5.mp4,zaayd,unsafe,30.000,308,10.270,1440,720
captures_zaayd_unsafe_blooza_godo_4_d437650f,captures\zaayd\unsafe\blooza godo 4.mp4,zaayd,unsafe,30.000,232,7.730,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_9dc0b428,captures\zaayd\unsafe\unsafe blooza bad .mp4,zaayd,unsafe,30.000,368,12.270,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185711_0b4a1e2c,captures\zaayd\unsafe\unsafe blooza bad 20260512_185711.mp4,zaayd,unsafe,30.000,87,2.900,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185716_59d3ada5,captures\zaayd\unsafe\unsafe blooza bad 20260512_185716.mp4,zaayd,unsafe,30.000,69,2.300,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185719_a7ede895,captures\zaayd\unsafe\unsafe blooza bad 20260512_185719.mp4,zaayd,unsafe,30.000,42,1.400,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185723_2936f2f1,captures\zaayd\unsafe\unsafe blooza bad 20260512_185723.mp4,zaayd,unsafe,30.000,56,1.870,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185727_82e40518,captures\zaayd\unsafe\unsafe blooza bad 20260512_185727.mp4,zaayd,unsafe,30.000,90,3.000,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185733_5c9cc748,captures\zaayd\unsafe\unsafe blooza bad 20260512_185733.mp4,zaayd,unsafe,30.000,67,2.230,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185739_6d22fa85,captures\zaayd\unsafe\unsafe blooza bad 20260512_185739.mp4,zaayd,unsafe,30.000,58,1.930,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185746_75364c1d,captures\zaayd\unsafe\unsafe blooza bad 20260512_185746.mp4,zaayd,unsafe,30.000,64,2.130,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185750_089d804b,captures\zaayd\unsafe\unsafe blooza bad 20260512_185750.mp4,zaayd,unsafe,30.000,76,2.530,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185754_1c7097b2,captures\zaayd\unsafe\unsafe blooza bad 20260512_185754.mp4,zaayd,unsafe,30.000,57,1.900,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185758_7e2820d3,captures\zaayd\unsafe\unsafe blooza bad 20260512_185758.mp4,zaayd,unsafe,30.000,59,1.970,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_4_0972155c,captures\zaayd\unsafe\unsafe blooza bad 4.mp4,zaayd,unsafe,30.000,85,2.830,1440,720
captures_zaayd_unsafe_unsafe_blooza_bad_529a5475,captures\zaayd\unsafe\unsafe blooza bad.mp4,zaayd,unsafe,30.000,106,3.530,1440,720
captures_zaayd_unsafe_unsafe_blooza_good_22e4c575,captures\zaayd\unsafe\unsafe blooza good .mp4,zaayd,unsafe,30.000,106,3.530,1440,720
captures_zaayd_unsafe_unsafe_distracted_blooza_good_46c3f655,captures\zaayd\unsafe\unsafe distracted blooza good.mp4,zaayd,unsafe,30.000,129,4.300,1440,720
captures_zaayd_unsafe_unsafe_distracted_0755b3f7,captures\zaayd\unsafe\unsafe distracted.mp4,zaayd,unsafe,30.000,155,5.170,1440,720
